Department family	http://userannotation/na	Entity	http://userannotation/na	Date	http://userannotation/na	Expense Type	http://userannotation/na	Expense area	http://userannotation/na	Supplier	http://userannotation/na	Transaction number	http://userannotation/na	AP Amount (ï¾£)	http://userannotation/na	Purchase invoice number	http://userannotation/na		
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623452	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Doncaster_and_Bassetlaw_Hospitals_NHS_Foundation_Trust	2530729	http://userannotation/number	361591	0	http://userannotation/number	82120623	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623453	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	AMBULANCE SERVICES	http://en.wikipedia.org/wiki/Ambulance_Service	EAST MIDLANDS AMBULANCE SERVICE NHS TRUST	http://en.wikipedia.org/wiki/East_Midlands_Ambulance_Service	2518292	http://userannotation/number	234597	0	http://userannotation/number	11303683	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623454	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Serv Recd-Oth NHS	http://en.wikipedia.org/wiki/NHS_trust	NON RECURRENT PROGRAMMES	http://userannotation/na	EAST MIDLANDS AMBULANCE SERVICE NHS TRUST	http://en.wikipedia.org/wiki/East_Midlands_Ambulance_Service	2687303	http://userannotation/number	75161	78	http://userannotation/number	11303747	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623455	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hlthcre-Foundation Trsts	http://en.wikipedia.org/wiki/NHS_foundation_trust	IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES	http://userannotation/na	LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Lincolnshire_Partnership_NHS_Foundation_Trust	2587636	http://userannotation/number	90322	0	http://userannotation/number	PPIAPTSERVICESOCT1306111390322	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623456	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	ACUTE COMMISSIONING	http://userannotation/na	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	1460	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623457	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	BUSINESS INFORMATICS	http://en.wikipedia.org/wiki/Business_informatics	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	16471	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623458	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	COMMUNICATIONS & PR	http://en.wikipedia.org/wiki/Public_relations	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	5835	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623459	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	CONTINUING HEALTHCARE ASSESSMENT & SUPPORT	http://userannotation/na	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	32283	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623460	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	CONTRACT MANAGEMENT	http://en.wikipedia.org/wiki/Contract_management	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	1017	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623461	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	CORPORATE GOVERNANCE	http://en.wikipedia.org/wiki/Corporate_governance	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	5582	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623462	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	FINANCE	http://en.wikipedia.org/wiki/Finance	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	24482	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623463	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Charges from CSU	http://userannotation/na	HUMAN RESOURCES	http://en.wikipedia.org/wiki/Human_resources	NHS GREATER EAST MIDLANDS CSU	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_Midlands_and_East	2530711	http://userannotation/number	5603	0	http://userannotation/number	7311000888	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623464	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Cont Care-Physical Disab (65+)	http://userannotation/na	CHC ADULT FULLY FUNDED	http://userannotation/na	NHS NORTH DERBYSHIRE CCG	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_North_East	2486640	http://userannotation/number	484085	50	http://userannotation/number	SEPTCHCRECHARGE	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623465	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Cont Care-Physical Disab (65+)	http://userannotation/na	CHC ADULT FULLY FUNDED	http://userannotation/na	NHS NORTH DERBYSHIRE CCG	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_North_East	2530899	http://userannotation/number	484085	50	http://userannotation/number	7017600268	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623466	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Serv Recd-CCGs	http://userannotation/na	OUT OF HOURS	http://userannotation/na	NHS NORTH DERBYSHIRE CCG	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_North_East	2774625	http://userannotation/number	56766	10	http://userannotation/number	7017600293	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623467	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Serv Recd-CCGs	http://userannotation/na	HOSPICES	http://en.wikipedia.org/wiki/Hospices	NHS NORTH DERBYSHIRE CCG	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_North_East	2774632	http://userannotation/number	37891	73	http://userannotation/number	7017600294	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623468	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Serv Recd-CCGs	http://userannotation/na	FUNDED NURSING CARE	http://en.wikipedia.org/wiki/Nursing?oldid=548391095	NHS NORTH DERBYSHIRE CCG	http://en.wikipedia.org/wiki/List_of_Primary_Care_Trusts_in_England#NHS_North_East	2774636	http://userannotation/number	36596	0	http://userannotation/number	7017600295	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623469	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Drugs	http://userannotation/na	PRESCRIBING	http://en.wikipedia.org/wiki/Prescription_medication	NHS SHEFFIELD CCG	http://en.wikipedia.org/wiki/Sheffield#Public_services	2788821	http://userannotation/number	209011	31	http://userannotation/number	7016200120	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623470	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_foundation_trust	ACUTE COMMISSIONING	http://userannotation/na	NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST	http://en.wikipedia.org/wiki/Nottingham_University_Hospitals_NHS_Trust	2584835	http://userannotation/number	140085	0	http://userannotation/number	2000051621	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623471	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust	http://en.wikipedia.org/wiki/NHS_foundation_trust	COMMUNITY SERVICES	http://userannotation/na	NOTTINGHAMSHIRE HEALTHCARE NHS TRUST	http://en.wikipedia.org/wiki/Nottinghamshire_Healthcare_NHS_Trust	2584398	http://userannotation/number	30360	0	http://userannotation/number	1000027755	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623472	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust	http://en.wikipedia.org/wiki/NHS_foundation_trust	MENTAL HEALTH CONTRACTS	http://userannotation/na	NOTTINGHAMSHIRE HEALTHCARE NHS TRUST	http://en.wikipedia.org/wiki/Nottinghamshire_Healthcare_NHS_Trust	2601049	http://userannotation/number	54179	17	http://userannotation/number	1000027980	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623473	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Cost per Case	http://en.wikipedia.org/wiki/NHS_foundation_trust	MENTAL HEALTH CONTRACTS	http://userannotation/na	NOTTINGHAMSHIRE HEALTHCARE NHS TRUST	http://en.wikipedia.org/wiki/Nottinghamshire_Healthcare_NHS_Trust	2686843	http://userannotation/number	95640	10	http://userannotation/number	1000027646	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623474	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Cost per Case	http://en.wikipedia.org/wiki/NHS_foundation_trust	MENTAL HEALTH CONTRACTS	http://userannotation/na	NOTTINGHAMSHIRE HEALTHCARE NHS TRUST	http://en.wikipedia.org/wiki/Nottinghamshire_Healthcare_NHS_Trust	2687116	http://userannotation/number	-102310	0	http://userannotation/number	1000002266	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623475	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Commercial Sector	http://userannotation/na	PATIENT TRANSPORT	http://en.wikipedia.org/wiki/Patient_transport	NSL LTD T/A NSL CARE SERVICES	http://en.wikipedia.org/wiki/NSL_Services_Group	2530600	http://userannotation/number	57269	69	http://userannotation/number	22052	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623476	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	C&M-PMS LES Anti-coagulation	http://userannotation/na	LOCAL ENHANCED SERVICES	http://userannotation/na	SCOTT COOPER PARKER GADSDEN & PARTNERS	http://userannotation/na	2542437	http://userannotation/number	4987	70	http://userannotation/number	DE000006965	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623477	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	C&M-PMS LES Basket of Procedures	http://userannotation/na	LOCAL ENHANCED SERVICES	http://userannotation/na	SCOTT COOPER PARKER GADSDEN & PARTNERS	http://userannotation/na	2542437	http://userannotation/number	22323	37	http://userannotation/number	DE000006965	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623478	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	C&M-PMS LES Zoladex	http://userannotation/na	LOCAL ENHANCED SERVICES	http://userannotation/na	SCOTT COOPER PARKER GADSDEN & PARTNERS	http://userannotation/na	2542437	http://userannotation/number	192	http://userannotation/number	DE000006965	http://userannotation/number		
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623479	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Cost per Case	http://en.wikipedia.org/wiki/NHS_foundation_trust	ACUTE COMMISSIONING	http://userannotation/na	SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Sheffield_Teaching_Hospitals_NHS_Foundation_Trust	2530934	http://userannotation/number	33761	0	http://userannotation/number	4000376477	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623480	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_foundation_trust	ACUTE COMMISSIONING	http://userannotation/na	SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Sheffield_Teaching_Hospitals_NHS_Foundation_Trust	2585155	http://userannotation/number	238982	0	http://userannotation/number	4000376393	http://userannotation/number	
